#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Chris Clemons,CAM,33,36.6,9.2,20.6,0.448,4.2,11.8,0.357,7.5,8.6,0.869,2.5,1.9,0.8,4.3,5.1,2.8,1.5,0.3,30.1
2,Justin Wright-Foreman,HOF,35,37.7,9.4,18.5,0.511,3.1,7.4,0.425,5.1,5.9,0.864,2.6,1.9,0.3,3.7,4,2.9,0.9,0.2,27.1
3,Antoine Davis,UDM,30,37.4,8.8,21.9,0.4,4.4,11.6,0.38,4.2,4.9,0.857,3.3,2.3,0.7,2.4,3.1,3.6,0.9,0,26.1
4,Mike Daum,SDSU,33,33.3,8.7,16.9,0.512,2,5.5,0.37,5.9,7.1,0.838,2.2,2.9,2.4,9.3,11.7,1.8,0.7,1,25.3
5,Markus Howard,MU,34,33.5,7.4,17.6,0.42,3.5,8.8,0.403,6.7,7.5,0.89,3.9,2.1,0.4,3.6,4,3.9,1.1,0,25
6,Lamine Diane,CSUN,33,35.3,10.3,21.2,0.485,0.2,0.7,0.304,4,7.6,0.522,3.2,3.4,3.3,7.9,11.2,2.1,1.5,2.2,24.8
7,Ja Morant,MSU,33,36.6,8,16.1,0.499,1.7,4.8,0.363,6.7,8.2,0.812,5.2,1.5,1.2,4.5,5.7,10,1.8,0.8,24.5
8,Jermaine Marrow,HU,35,36.4,7.8,18.5,0.422,2.5,6.8,0.37,6.2,7.7,0.81,3.2,3.1,0.7,3.3,4.1,4.9,1.6,0.2,24.4
9,Carsen Edwards,PU,36,35.4,7.7,19.5,0.394,3.8,10.6,0.355,5.1,6.1,0.837,3.1,2,0.4,3.2,3.6,2.9,1.3,0.3,24.3
10,Nick Mayo,EKU,31,34.8,7.9,17.1,0.462,1.7,5.3,0.331,6.1,7.1,0.864,2.7,2.7,2.3,6.5,8.7,2.3,1.2,1.8,23.7
11,Jordan Davis,UNC,32,33.8,8,16.9,0.474,1.7,4.7,0.36,5.8,7.2,0.805,3.3,2.3,0.9,3.8,4.7,4.7,1.4,0.3,23.5
12,Cameron Young,QU,31,35.9,7.2,14.9,0.482,3.4,7.7,0.437,5.8,7.6,0.766,2.9,2.2,1,4.1,5.1,1.9,1.1,0.3,23.5
13,Myles Powell,SHU,34,36,7.4,16.6,0.447,3.1,8.7,0.363,5.1,6.1,0.84,3,2.2,0.8,3.2,4,2.9,2,0.2,23.1
14,Jhivvan Jackson,UTSA,29,30.9,7.7,19.8,0.386,3.6,10.2,0.351,4,4.7,0.846,2.3,2.8,0.4,3.6,4.1,2.4,1.2,0.1,22.9
15,R.J. Barrett,DUKE,38,35.3,8.4,18.5,0.454,1.9,6.2,0.308,3.9,5.9,0.665,3.2,1.8,1.6,6,7.6,4.3,0.9,0.4,22.6
16,Zion Williamson,DUKE,33,30,9,13.2,0.68,0.7,2.2,0.338,3.9,6.2,0.64,2.4,2.1,3.5,5.4,8.9,2.1,2.1,1.8,22.6
17,Ty Cockfield,ASU,32,35,7.4,16.9,0.439,2.2,6.1,0.356,5.4,6.6,0.82,2.9,2,0.8,2.8,3.6,3.2,1.1,0.1,22.4
18,Matt Morgan,COR,31,32.3,6.9,13.5,0.512,3.3,7.7,0.431,5,5.8,0.86,3.4,2,0.2,4.3,4.5,3,1.4,0.3,22.2
19,Justin James,UW,32,38.2,7.1,17.4,0.409,1.6,5.3,0.296,6.2,8.4,0.741,4.2,2.1,1,7.5,8.5,4.4,1.5,0.6,22.1
20,Grant Riller,C of C,33,35.5,8,14.9,0.538,1.4,4.2,0.329,4.5,5.6,0.806,2.4,1.7,0.6,2.8,3.4,4.1,1.2,0.1,21.9
21,Jon Davis,CHAR,29,37.1,6.6,15.2,0.433,2.5,7.4,0.338,6,7.1,0.854,4.2,1.5,0.4,4.1,4.5,3.7,0.8,0.4,21.7
22,Robert Franks,WSU,27,34.4,7.4,15.1,0.493,2.8,7,0.399,3.9,4.6,0.848,3.2,2.5,1.4,5.9,7.2,2.6,0.7,0.7,21.6
23,Jaylin Walker,KSU,27,36,6.7,17.3,0.387,3.4,9,0.383,4.7,5.9,0.804,2.7,1.3,1.7,4,5.7,2.1,1.3,0.1,21.6
24,Bubba Parham,VMI,32,33.9,6.6,15.4,0.425,3.6,9.1,0.397,4.7,5.9,0.794,2.6,1.9,0.3,3.1,3.4,3.5,0.6,0,21.4
25,Jerrick Harding,WSU,30,33.9,7.1,15,0.47,2.1,5.8,0.366,5.1,5.9,0.87,2.1,2.2,0.5,2.9,3.4,1.4,1.6,0.4,21.4
26,R.J. Cole,HU,34,35.6,6.4,15.4,0.415,2.5,6.4,0.387,6.1,7.4,0.818,3.2,2.2,0.7,3.4,4.1,6.4,1.9,0,21.4
27,Andrew Kostecka,L-MD,32,33.2,7.5,14.4,0.523,1.5,3.9,0.381,4.8,5.8,0.813,2.8,3.1,1.2,3.6,4.8,2.4,2.7,0.9,21.3
28,Dylan Windler,BEL,33,33.2,7.4,13.6,0.54,3,7.1,0.429,3.5,4.2,0.847,2.1,2.1,1.9,8.9,10.8,2.5,1.4,0.6,21.3
29,Yoeli Childs,BYU,32,33.3,8.1,15.9,0.508,1,3.1,0.323,4.1,5.8,0.708,2.8,2.6,2,7.6,9.6,2.1,1,1,21.2
30,Anthony Lamb,UVM,32,31.6,7.6,14.7,0.515,1.6,4.3,0.365,4.5,5.9,0.762,2.2,2,1.7,6.1,7.8,2.2,0.9,1.9,21.2
31,Jordan Ford,SMC,34,36.9,7.5,15.3,0.489,2.1,5,0.412,4,5,0.8,1.9,1.7,0.5,2.3,2.8,2.5,1.3,0,21.1
32,Daishon Smith,ULM,32,34.6,6.1,13.8,0.443,3.4,8.6,0.4,5.4,6.3,0.861,2.2,1.8,0.7,3.8,4.5,3.9,2.2,0.1,21
33,Nathan Knight,W&M,31,30.6,7.6,13.2,0.578,0.3,1.3,0.244,5.5,7.5,0.732,2.7,3,2.7,5.9,8.6,3.5,0.4,2.3,21
34,Garrison Mathews,LIP,36,30.1,6.2,13.9,0.444,3.2,8,0.403,5.3,6.1,0.86,2.3,1.9,0.7,4.8,5.5,1.9,0.8,0.2,20.9
35,Sam Merrill,USU,35,35.3,6.5,14.1,0.461,2.5,6.5,0.376,5.4,5.9,0.909,1.9,2.5,0.3,3.6,3.9,4.1,1.1,0.3,20.9
36,Martaveous McKnight,UAPB,32,36.8,7.1,16,0.442,2.3,6,0.387,4.4,6.2,0.709,2.7,1.2,0.7,4.3,5,2.9,1.5,0.3,20.8
37,Tres Tinkle,OSU,30,36.4,7.2,14.8,0.483,1.8,5.4,0.329,4.7,6.1,0.77,3,2.1,2,6.1,8.1,3.8,1.7,0.5,20.8
38,JaKeenan Gant,LA,31,32.3,7.9,14.5,0.545,1.4,3.6,0.378,3.3,4.2,0.786,2.1,2.7,3.1,5.5,8.6,1.3,0.8,2.6,20.5
39,Tyler Hall,MSU,32,33.5,7.3,16.3,0.447,3.6,9.6,0.377,2.3,2.8,0.833,2.1,1.9,0.7,4.1,4.7,2.8,1.1,0.3,20.5
40,Terry Taylor,APSU,33,33.1,7.8,14.7,0.531,1.5,4.5,0.34,3.3,4.5,0.741,1.9,2,3.4,5.5,8.9,1.7,1.1,0.9,20.5
41,Eugene German,NIU,31,32.7,7.4,15,0.49,2.8,6.8,0.414,2.8,4.1,0.688,2.4,2,0.5,4.6,5.2,2.9,1.2,0.2,20.4
42,Rayjon Tucker,UALR,30,36.6,6.2,12.7,0.491,2.4,5.8,0.411,5.5,7,0.777,2.6,2.3,0.8,6,6.7,1.8,1.1,0.4,20.3
43,Jon Elmore,MU,37,35.9,6.3,16.1,0.393,3.1,8.5,0.364,4.5,5.8,0.789,3.1,2,0.3,4.8,5.1,5.1,1.7,0.5,20.3
44,Fletcher Magee,WC,35,31.4,6.4,14.7,0.439,4.5,10.8,0.419,2.9,3.2,0.91,1.4,1.4,0.4,2.2,2.5,1.6,0.7,0.1,20.3
45,Lew Stallworth,CIT,29,33.4,7.6,14.4,0.527,1.2,3.3,0.375,3.7,5,0.74,3.6,2.8,0.4,4.9,5.3,6.2,1,0,20.2
46,Keaton Wallace,UTSA,32,34.9,6.7,15.9,0.422,3.8,9.9,0.382,3,3.5,0.856,2.2,2.2,0.8,4.2,5,2.4,1.3,0.7,20.2
47,Max Strus,DEP,35,37.4,6.6,15.5,0.429,3.2,8.9,0.363,3.7,4.3,0.842,2,2.9,1.1,4.8,5.9,2.2,0.9,0.5,20.1
48,Lamar Stevens,PSU,32,36.9,7.2,17,0.422,0.6,2.8,0.22,4.9,6.4,0.77,2.8,2.6,1.7,6,7.7,2.1,0.7,0.8,19.9
49,Sa'eed Nelson,AU,30,36.5,6.8,13.3,0.507,0.9,2.8,0.306,5.4,7.6,0.718,3.6,2.3,1,4.6,5.6,5.1,2.4,0.5,19.8
50,Shizz Alston,TEM,33,36.8,6.3,15.5,0.405,3,8.6,0.35,4.2,4.6,0.908,2.5,1.9,0.5,2.2,2.8,5,1.5,0.2,19.7
51,Rui Hachimura,GU,37,30.2,7.4,12.6,0.591,0.4,1,0.417,4.4,6,0.739,1.8,2,1.4,5.1,6.5,1.5,0.9,0.7,19.7
52,Shamorie Ponds,STJ,33,35.1,6.5,14.5,0.453,2,5.6,0.353,4.6,5.5,0.836,2,2,1,3.2,4.1,5.1,2.6,0.3,19.7
53,Jeremiah Martin,UM,36,34.3,6.1,13.6,0.451,1.8,5.3,0.346,5.6,7.4,0.762,2.6,1.9,1.1,3.2,4.2,4.4,2.2,0.6,19.7
54,"James Palmer, Jr.",UNL,36,35.1,5.9,16.1,0.369,1.9,5.9,0.313,6,7.8,0.762,2.1,2.2,1.1,3.1,4.2,3,1.4,0.4,19.7
55,David Jenkins,SDSU,32,33.1,6.4,14,0.458,3.5,7.7,0.453,3.3,4.2,0.793,2.6,2.8,0.4,2.9,3.4,1.5,0.5,0,19.7
56,John Konchar,IPFW,33,34.3,7,12.8,0.546,1.6,4.2,0.381,3.8,5.4,0.713,2.8,2.1,2.2,6.3,8.5,5.4,2,0.9,19.5
57,Jahaad Proctor,HP,31,34.6,6.8,14.6,0.464,1.8,5.4,0.331,4.1,5.4,0.771,2.2,1.6,0.6,3.3,3.8,3.3,1.3,0.4,19.5
58,Dedric Lawson,KU,36,32.6,6.9,14.1,0.49,1,2.5,0.393,4.6,5.7,0.815,2.3,2.6,3.1,7.2,10.3,1.7,1.2,1.1,19.4
59,Marcquise Reed,CLEM,31,35.4,6.5,14.8,0.44,1.5,4.4,0.356,4.8,5.7,0.843,2.7,1.9,0.7,4.8,5.5,3,2.1,0,19.4
60,Jarrell Brantley,C of C,33,33.9,7.2,13.9,0.517,1.2,3.5,0.328,3.9,4.9,0.785,2.6,2.7,1.7,6.7,8.4,2.4,1.4,0.9,19.4
61,Colbey Ross,PU,34,34.9,5.3,12.1,0.437,1.9,4.7,0.396,7,8.2,0.853,4.3,2.7,0.4,2.6,2.9,7,1.2,0.1,19.4
62,Caleb Martin,UNR,34,34.1,5.9,14.5,0.409,3.1,9.3,0.338,4.3,5.8,0.732,1.9,2.4,0.9,4.3,5.1,2.8,1.4,0.8,19.2
63,Terrell Gomez,CSUN,34,37.7,6.3,14,0.45,3.4,8.2,0.419,3.1,3.6,0.877,1.8,1.3,0.4,1.7,2.1,2.8,1.1,0,19.2
64,Charlie Brown,SJU,32,35.6,6.4,14.9,0.43,2,5.5,0.356,4.2,5,0.845,1.8,2.6,2.1,4.1,6.2,1.5,1.1,0.8,19
65,Ky Bowman,BC,31,39.4,6.3,15.6,0.404,2.5,6.8,0.374,3.8,5,0.761,2.9,2.6,0.8,6.7,7.5,4,1.4,0.6,19
66,Milan Acquaah,CBU,31,32.1,6.2,14.8,0.415,2.5,6.5,0.374,4.2,4.9,0.85,3.3,2.6,0.7,4.4,5,3.4,1.6,0.1,19
67,Tyler Hooker,KENN,31,36.2,6.5,16.4,0.393,1.1,4,0.28,4.9,5.9,0.832,2.8,2.2,0.8,4,4.7,3,1.5,0.2,19
68,Jailyn Ingram,FAU,10,29.7,7.3,13.1,0.557,1.7,4,0.425,2.6,3,0.867,3.6,2.6,2.9,5.3,8.2,2,0.8,1,18.9
69,Raiquan Clark,LIU,32,32.3,6.9,13.7,0.503,0.6,2.6,0.244,4.5,6.4,0.699,4.4,3.1,1.9,4.8,6.8,2,1.2,0.7,18.9
70,Deishuan Booker,LBSU,33,32.1,5,11,0.455,1.3,3.5,0.362,7.6,8.3,0.912,3.9,2.4,0.5,3,3.5,4.4,1.3,0.1,18.8
71,Grant Williams,UT,37,31.9,6.3,11.2,0.564,0.4,1.2,0.326,5.8,7,0.819,2.2,3,2.2,5.3,7.5,3.2,1.1,1.5,18.8
72,Isaiah Pineiro,USD,36,34.7,6.4,13.2,0.487,1.1,3.3,0.336,4.8,5.9,0.82,3,3.3,1.9,7.5,9.4,2.1,1.2,0.5,18.8
73,Cassius Winston,MSU,39,33.5,6.2,13.5,0.46,2.2,5.4,0.398,4.2,5,0.84,2.9,1.9,0.3,2.7,3,7.5,1,0.1,18.8
74,Jarron Cumberland,UC,35,32.5,5.9,14.6,0.404,2.3,5.9,0.388,4.7,6,0.773,2.7,2.3,1.1,3.3,4.4,3.6,1.1,0.4,18.8
75,Marial Shayok,ISU,34,32.9,6.7,13.6,0.496,2.1,5.4,0.386,3.2,3.6,0.878,2.7,2.1,1.4,3.5,4.9,2,0.9,0.2,18.7
76,Christian Lutete,UML,32,33.9,6.7,12.5,0.534,2.2,5.5,0.395,3.2,4.4,0.718,2.5,1.9,1.3,6.3,7.6,1.4,0.7,0.1,18.7
77,Drew McDonald,NKU,34,30.6,6.2,13.1,0.472,2,5,0.394,4.3,5.4,0.798,2.3,1.9,2,7.4,9.4,2.8,0.5,0.4,18.7
78,Christian Keeling,CSU,34,32.2,6.3,13.5,0.465,2.4,6.3,0.38,3.7,4.8,0.773,2.7,2,0.9,6.1,6.9,2.8,1.3,0.7,18.7
79,Camron Justice,IUPUI,33,32.7,5.9,13.9,0.425,2.7,7.8,0.352,4.1,4.8,0.854,2.5,2.2,0.3,2.9,3.2,2.9,1.3,0,18.6
80,Phil Booth,VILL,36,35.1,6.1,13.9,0.434,2.6,7.2,0.367,3.8,5.1,0.749,2.3,1.9,0.4,3.5,3.9,3.8,0.8,0.2,18.6
81,Jarrett Culver,TTU,38,32.5,6.7,14.5,0.461,1.3,4.2,0.304,3.9,5.5,0.707,2.7,1.9,1.4,5,6.4,3.7,1.5,0.6,18.5
82,Quinndary Weatherspoon,MSU,34,34,6.3,12.3,0.508,1.6,4.1,0.396,4.4,5.4,0.809,2.9,2.1,1.3,3.4,4.7,2.8,1.7,0.3,18.5
83,Braxton Huggins,CSUF,31,29.8,6.1,14.4,0.425,3.3,8.5,0.385,3,3.7,0.793,2.2,2.2,0.6,3.6,4.3,1.7,1.1,0.3,18.5
84,D'Marcus Simonds,GSU,34,35.7,6.4,15.6,0.413,1.7,5.9,0.282,3.8,5.8,0.66,3.7,2.4,0.7,4.2,5,3.6,1.3,1,18.4
85,Ronshad Shabazz,ASU,32,32.2,6.3,14.4,0.441,2.5,6.6,0.376,3.2,3.9,0.815,2.2,1.5,0.6,2.7,3.3,2.3,0.8,0.1,18.3
86,Xavier Hill-Mais,OU,34,30.6,7.1,13.1,0.537,1.1,3.1,0.349,3.1,4.3,0.707,2.9,2.7,2.1,4.9,7,2.4,0.6,0.9,18.3
87,Justin Turner,BGSU,34,32.2,6.7,14.4,0.468,1.8,4.8,0.372,2.9,4.1,0.709,1.9,1.7,0.8,2.9,3.7,3.1,1.4,0.2,18.2
88,Khalil Ahmad,CSUF,34,31.4,6.1,14,0.436,1.6,5.2,0.318,4.4,5.4,0.814,2,2.5,0.6,3.4,4,1.3,1.6,0.2,18.2
89,Bennie Boatwright,USC,31,33.5,6.4,13.4,0.474,2.9,6.8,0.429,2.6,3.7,0.702,1.5,2.4,1.4,5.2,6.6,2.5,0.7,0.6,18.2
90,Devin Cannady,PRIN,16,36.8,5.9,14.1,0.416,3.1,8.7,0.36,3.3,3.8,0.869,1.8,1.9,0.5,5.2,5.8,1.7,1.6,0.2,18.2
91,Zac Cuthbertson,CCU,34,32.1,5.9,12.1,0.488,1.3,3.5,0.367,5.1,6.7,0.763,2.4,3,2.2,5.9,8.1,2.4,0.9,0.4,18.2
92,C.J. Massinburg,UB,35,32.3,5.7,12.3,0.464,2.7,6.7,0.399,4.1,5.3,0.78,1.3,1.7,2.2,4.3,6.5,3,1.2,0.3,18.2
93,Markis McDuffie,WSU,37,33.4,5.8,14.2,0.408,2.3,6.6,0.341,4.3,5.3,0.816,1.6,1.9,1.8,3.2,5,1,1,0.2,18.2
94,Tyler Kohl,CCSU,27,34.3,5.7,14.6,0.394,1.5,4.6,0.331,5.1,6.1,0.848,3.7,2.3,1.7,5.3,7,4.6,1.4,0,18.1
95,David Efianayi,GWU,35,33.4,5.7,11.8,0.485,2,4.8,0.42,4.7,6.3,0.742,2.4,2.1,0.5,3.1,3.7,2.9,1.1,0.7,18.1
96,Jahmal McMurray,SMU,32,32.7,6.4,14.3,0.449,3.2,8,0.395,2.1,2.5,0.827,1.7,2.2,0.2,2.2,2.3,2.6,0.7,0.1,18.1
97,Zach Jackson,UNO,32,34.2,6.4,12.9,0.495,1.9,4.3,0.432,3.4,4.5,0.759,1.6,1.8,0.9,3.4,4.3,1.9,0.8,0.1,18.1
98,Deshon Taylor,CSUF,28,35.6,5.4,12.2,0.446,2.4,6,0.401,4.7,6,0.784,2.9,2.7,0.6,3,3.7,5,1.4,0.2,17.9
99,Breein Tyree,UM,33,33.8,6,13,0.459,2.1,5.6,0.375,3.9,4.7,0.831,2.4,2,0.3,2.6,2.9,2.8,1,0.4,17.9
100,C.J. Williams,HU,33,31.1,6.3,14.2,0.446,1.8,4.9,0.373,3.4,4,0.856,1.5,1.7,0.7,2.1,2.7,0.7,0.7,0.3,17.9
101,Sean Hoehn,SHU,32,31.6,5.7,12,0.474,2,5,0.406,4.5,5.3,0.847,3.1,2.6,0.5,2.8,3.3,2.6,1.5,0.1,17.9
102,Antonio Green,MTSU,32,35.3,6.1,16.3,0.376,3.3,9.5,0.345,2.4,2.7,0.874,3.2,2,0.3,3.7,4,1.6,1,0.1,17.9
103,Shannon Bogues,SFA,30,36.1,5.9,14.1,0.42,2.2,6,0.369,3.8,4.8,0.786,3.2,1.5,0.4,2.6,3,3.6,1.2,0.3,17.9
104,Sam Sessoms,BU,33,34.3,6.8,15.2,0.448,2.1,5.8,0.366,2.1,3.2,0.66,4.3,2.2,0.7,2.6,3.3,3.5,1.1,0.1,17.8
105,T.J. Haws,BYU,32,33.4,5.4,11.8,0.463,1.8,5.1,0.352,5.2,5.9,0.868,2.3,2.2,0.3,3.2,3.5,5.1,1.2,0.3,17.8
106,Kevon Harris,SFA,30,34.9,5.9,11.3,0.521,1.7,4.4,0.379,4.4,5.9,0.736,2.9,2.4,1.7,4.7,6.5,2,1,0.5,17.8
107,C.J. Burks,MU,37,33.5,6.7,14,0.478,1.8,5,0.357,2.5,3.3,0.77,3,2.3,0.6,3.3,3.9,2.9,1.8,0.2,17.7
108,E.J. Crawford,IC,33,35.6,6.2,12.3,0.504,1.6,4.2,0.379,3.6,4.5,0.816,1.8,2.2,1.1,3.9,5.1,1.8,0.7,0.2,17.7
109,A.J. Brodeur,PENN,31,32.5,7.2,13.7,0.528,0.5,1.5,0.34,2.7,4.6,0.576,2.7,2.4,2,6.3,8.3,3.6,1,1.3,17.6
110,Kimbal Mackenzie,BU,33,34.3,5.4,12.7,0.425,2.5,6.7,0.376,4.3,5,0.861,1.8,1.7,0.7,2.1,2.8,3,0.8,0,17.6
111,Zach Cooks,NJIT,35,37.3,6.2,13.7,0.451,2.1,6,0.349,3.2,4.4,0.732,2.2,1.9,0.6,4.2,4.8,2.1,2.5,0.1,17.6
112,Francisco Alonso,UNCG,36,28.7,5.4,12.9,0.419,2.7,7.3,0.371,4.1,4.6,0.88,2.6,2.2,0.5,1.8,2.3,2.5,1,0.2,17.6
113,Jeremy Combs,TSU,38,31.7,6.4,10.6,0.602,0.1,0.6,0.238,4.7,8,0.59,2.4,3.2,3.7,5.5,9.3,1.5,1.6,0.6,17.6
114,Brian Fobbs,TU,32,32.8,6.5,14.3,0.454,2,5.5,0.367,2.6,3.2,0.804,1.8,1.8,1.8,4,5.9,1.3,0.7,0.2,17.6
115,Sandy Cohen III,UWGB,38,34.1,5.8,12.2,0.476,1.5,4.5,0.337,4.5,5.8,0.773,3.1,2.6,0.5,5.9,6.4,4.7,1.9,1.1,17.6
116,Jessie Govan,GU,33,30.3,6.4,12.9,0.496,1.4,3.5,0.412,3.3,4.3,0.766,1.5,2.6,1.8,5.7,7.5,1.2,0.8,1.2,17.5
117,"Kyle Allman, Jr.",CSUF,33,35.2,5.7,13.7,0.414,1.8,5.2,0.349,4.4,5.8,0.75,2.5,2,0.3,2.7,3,2,0.7,0.4,17.5
118,Matt Rafferty,FU,33,33.4,6.6,10.7,0.615,0.2,0.8,0.32,4.1,5.3,0.767,2.1,2.2,2.6,6.4,9,4.3,2.5,1.1,17.5
119,Larry Austin,CMU,35,34,6.7,13.5,0.497,0.1,0.5,0.263,3.9,7.1,0.548,3.5,2.7,2.2,4.1,6.3,6,2.2,0.1,17.5
120,Vasa Pusica,NU,27,34.9,5.6,11.6,0.482,2.2,5.5,0.399,4,4.8,0.837,3.1,2.1,0.4,3.4,3.8,4.1,1.5,0.2,17.4
121,Kris Wilkes,UCLA,33,31.8,6.2,14.3,0.433,2.1,6.2,0.337,2.9,4.3,0.671,1.9,2.2,1.2,3.6,4.8,1.7,0.6,0.4,17.4
122,Tyreke Key,ISU,31,34.4,5.8,11.1,0.525,1.4,3.1,0.448,4.3,5.5,0.787,1.6,2,0.8,2.7,3.5,1.7,1.1,0,17.4
123,Ross Cummings,MER,31,33.3,5.2,12.2,0.427,3.3,8.2,0.399,3.6,4.5,0.801,2.3,1.6,0.4,2.5,2.9,1.9,0.5,0.1,17.4
124,Tookie Brown,GSU,33,35.2,6,12.1,0.496,1.2,3.5,0.333,4.2,5.4,0.765,2.3,2.2,0.7,3.4,4.2,4.7,1.4,0.1,17.3
